AK,population1000,cross_border_avg,cross_border,pop_change,pop_density,age_0_19,age_20_64,age_65_plus,living_city,foreign_nationals,roman_catholic,evangelical,without_confession,unemployment_perc,unemployment,gdp_capita,change_gdp,workingpop_1000,primary_sector,secondary_sector,blue_collar_old,blue_collar,tertiary_sector,homeownership,cars,puplic_transport_to_work,private_transport_to_work_old,private_transport_to_work,socialsecuritybeneficiary,degree_educ,FDP,CVP,SP,SVP,EVP_CSP,GLP,BDP,PdA_Sol,GPS,small_right_wing,SVP_plus_smallrw,criminal_offences_cc,criminal_offences_narca,criminal_offences_fna
TI,346.5,58935.3,0.17009,3.8,126.4,18.7,60.1,21.3,88.4,27.2,69.3,4.4,16.8,4.2,0.042,66611,1.4,212.7,3.4,51.4,0.257639868,25.7639868,157.9,38.8,629.6,14.8,60.9,0.609,2.4,27.5,24.8,20,16.6,9.7,0,0,0,1.2,6.7,3.48,13.18,65.4,9.1,3.9
BL,278.7,18946.0,0.06798,1.5,538.4,19.4,59.9,20.7,91.8,20.7,28.2,33.3,25.7,2.7,0.027,70271,1.7,141.9,3.3,38.6,0.295278365,29.5278365,100,45.2,514.3,34.4,42.8,0.428,2.6,28.3,11.5,8.2,24.4,26.9,3.3,5,6.4,0,13.6,0.51,27.41,56.1,3.6,1
BS,189.3,33410.8,0.17650,2.4,5117.2,16.6,62.9,20.5,100,34.3,19.9,17.8,43.8,3.6,0.036,156795,3.5,186.5,0.1,36.1,0.194101877,19.4101877,150.3,14.9,356.4,46.5,17.3,0.173,6.1,22.5,12.3,6.5,29.1,16.5,2.5,5.8,2.2,0,13.4,0.49,16.99,128.3,18.3,6
SH,78.8,4751.4,0.06030,3.2,264.2,19.1,60.9,20.1,76.1,24.7,22.3,39.5,22.4,3,0.03,77430,4,44.9,1.9,13.9,0.351893096,35.1893096,29.2,42.5,551.9,28.3,47.3,0.473,2.4,28.9,12.3,5.2,34.6,39.9,0,0,0,0,0,0.68,40.58,42.7,11.7,6.3
BE,1001.3,2505.2,0.00250,2.2,171.4,19.2,61.1,19.7,63,14.5,15.6,55.5,16.2,2.4,0.024,67704,1.4,621.4,34.9,133,0.270196331,27.0196331,453.5,39.1,508.5,28,43.7,0.437,4.2,22.9,8.7,2.1,19.3,29,4.2,5.3,14.9,0.3,9.4,2.45,31.45,67.7,13.7,3
GR,195,5154.1,0.02643,1.2,27.4,18.6,62.2,19.2,50.2,17.7,43.8,34.7,14,1.7,0.017,59914,1.2,125.8,7.1,26.7,0.268680445,26.8680445,92,43.3,546.6,18,44.8,0.448,1.2,27.2,11.9,16.7,15.6,24.5,0,8.2,20.4,0,2.2,1.22,25.72,42.2,8.5,1.1
JU,71.7,6674.5,0.09309,2.4,85.6,22.2,58.6,19.2,28.6,13.6,69.6,10.1,12.1,3.8,0.038,56595,3.7,40.9,3.2,15.2,0.449877751,44.9877751,22.5,56,577.1,12.9,59,0.59,2.6,30.8,9.5,33.2,30.8,15.5,0,0,0,0,11,9.78,25.28,63.9,8.7,2.7
UR,35.9,11.5,0.00032,1.3,33.9,20.8,60.3,18.9,0,11.1,81.6,-4.7,-8.1,1.1,0.011,48733,3.7,18.1,1.7,5.7,0.408839779,40.8839779,10.7,44.8,525.5,-9.7,55.5,0.555,1.1,23.9,74.3,0,21.5,0,0,0,0,0,0,0.21,0.21,33.7,3.8,1.8
SO,261.4,1744.6,0.00667,2.4,330.7,19.5,62,18.5,77.6,20.3,35,24.6,26.6,2.5,0.025,60178,2.3,136.2,4.5,39.6,0.323788546,32.3788546,92.1,48.6,572,18.6,57.7,0.577,3.5,21.9,18.4,17.9,18.3,24.3,1.5,5,4.4,0,7.5,0.71,25.01,69.5,8.5,3
GL,39.6,64.3,0.00162,2.6,58.2,19.7,61.9,18.4,0,22.2,34.8,35.5,15,2.3,0.023,58571,2.6,21.5,1.1,8.2,0.43255814,43.255814,12.3,50.6,564.5,13.7,56,0.56,2,21,0,0,24.6,0,0,0,61.7,0,0,0,0,34.9,9.7,2.7
